
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              New
click_to_continue                       Click to Continue...
incoming_call                           Incoming Call...

adviser_name_none                       None
adviser_name_ceo                        The CEO
adviser_name_warden                     The Warden
adviser_name_governer                   The Governer
adviser_name_chief                      The Chief
adviser_name_doctor                     The Doctor
adviser_name_kingpin                    The KingPin
adviser_name_edwardshooter              Edward
adviser_name_edwardsinner               Edward
adviser_name_edwardinmate               Edward
adviser_name_edwardswife                Edward's Wife Susan
adviser_name_priest                     The Priest


# =============================================================================
# Valuation, Reports etc
# =============================================================================

report_staff                            Staff
report_prisoners                        Prisoners
report_jobs                             Jobs
report_needs                            Needs
report_threats                          Threats
report_regime                           Regime
report_policy                           Policy
report_grants                           Grants
report_finance                          Finance
report_valuation                        Valuation
report_contraband                       Contraband

report_staff_title                      Staff *X
report_staff_group_builders             Workers
report_staff_group_guards               Guards
report_staff_group_staff                Staff
report_staff_group_administrators       Administrators
report_staff_group_prisoners            Prisoners
report_staff_group_prisoners_high       High Risk
report_staff_group_prisoners_normal     Normal Risk
report_staff_group_prisoners_low        Low Risk

valuation_categoryprison                Prison Value
valuation_construction                  Bricks and Morter
valuation_objects                       Fixtures and fittings
valuation_stock                         Stock and materials
valuation_staff                         Staff
valuation_startupgrant                  Starting Grant
valuation_capacity                      Prisoner Capacity
valuation_cash                          Cash
valuation_categoryperformance           Safety and Security
valuation_bonustimewithoutincident      [Bonus] Time without incident
valuation_fineviolence                  [Penalty] Serious Injuries
valuation_finemurder                    [Penalty] Unsolved Murders
valuation_fineescape                    [Penalty] Escapes
valuation_total                         TOTAL
valuation_sell                          SELL
valuation_sell_tooltip                  Selling your prison will allow you to take the profits from this prison and start a new one with a much higher starting bank balance.\nYou will still be able to continue running this prison, but you can only sell a prison once. All profit from the sale will be transferred to your new site.
valuation_sold                          This prison was sold for *X
valuation_donotown                      You cannot sell this prison as you do not own it

salecondition_title                     SALE REQUIREMENTS
salecondition_cannotsell                You cannot sell your prison until the conditions below are met
salecondition_minimumvalue              Minimum value $50,000
salecondition_cashflow                  Positive cashflow
salecondition_accountant                Accountant on site
salecondition_minprisoners              At least 20 prisoners

policy_title                            INCIDENT
policy_search                           - SEARCH -
policy_prisoner                         HIM
policy_cell                             CELL
policy_punishment                       PUNISHMENT
policy_quantity                         TIME

job_construct                           Construct *X
job_installobject                       Install *X
job_installobjectinroom                 Install *X in *Y
job_moveobject                          Move *X
job_moveobjecttoroom                    Move *X to *Y
job_loadobjectinto                      Load *X Into *Y
job_storeobject                         Store *X in *Y
job_dismantleobject                     Dismantle *X
job_dumpobject                          Dump *X
job_repairobject                        Repair *X
job_operateequipment                    Operate *X
job_escortprisoner                      Escort Prisoner to *X
job_punishprisoner                      Process Prisoner
job_searchobject                        Search *X 
job_searchentity                        Search Prisoner
job_searchingentity						Searching Prisoner
job_searchcell                          Search Cell
job_searchcellblock                     Search Cell Block
job_improvecellindoor                   Clean indoor area
job_improvecelloutdoor                  Garden outdoor area
job_opendoor                            Open Locked Door
       
finances_title                          Finances
finances_income                         Income
finances_expenses                       Expenses
finances_total                          Total
finances_profit                         Net

meal_quantity                           Meal Quantity
meal_variety                            Meal Variety
meal_cost                               Cost Per Prisoner

                                                           
# =============================================================================
# Needs / Actions / Bio etc
# =============================================================================
                                                     
action_poo                              Poo
action_wee                              Wee
action_wash                             Showering
action_relax                            Relaxing
action_sleep                            Sleeping
action_nap                              Napping
action_getmeal                          Getting Food
action_sit                              Sitting
action_exercise                         Exercising
action_liftweights                      Weightlifting
action_phonehome                        Phoning Family
action_watchtv                          Watching Tv
action_playpool                         Playing Pool
action_stealknife                       Acting Suspicious
action_stealspoon                       Acting Suspicious
action_urinate                          Urinating
action_soilsuit                         Soiling Suit
action_eat                              Eating
action_complain                         Complaining
action_work                             Working
action_visitation                       Visitation

# =============================================================================
# Nameplate status
# ============================================================================= 

nameplate_working                       Working
nameplate_stationed                     Stationed
nameplate_patrolling                    Patrolling
nameplate_resting                       Resting
nameplate_tired                         Tired
nameplate_injured                       Injured
nameplate_unconscious                   Unconscious
nameplate_dead                          DEAD
nameplate_released                      RELEASED
nameplate_researching                   Researching


# =============================================================================
# Status Effects
# ============================================================================= 

status_effect_title						=[Status Effects]=
status_effect_none						None
status_effect_suppressed				Suppressed
status_effect_goodfood					Well fed
status_effect_drunk						Drunk
status_effect_uppers					Uppers
status_effect_downers					Downers
status_effect_withdrawl					Withdrawl


# =============================================================================
# Objectives, Grants
# =============================================================================

objective_feedallprisoners              Feed all Prisoners
objective_caption_prisoners             Prisoners
objective_caption_meals                 Meals
objective_readceosletter                Read the CEO's letter
objective_actionrequired                Incident Reports

objective_prisonerintake                Prisoner Intake
objective_intake_arrivals               *X prisoners arriving 8am
objective_intake_closed                 Your prison is closed to new inmates
objective_intake_closed2                (See the Prisoner's Report)
objective_intake_specials				Special Transfers:

objective_outgoing                      Prisoners due for release
objective_outgoing_count                *X prisoners are due for release soon

objective_visitors                      Visitors (8am - 8pm)
objective_visitors_waiting              *X families waiting to visit
objective_visitors_onsite               *X visitors on site in *Y groups

objective_staffexhausted                Staff Exhausted
objective_reststaff_exhausted           *X staff members are exhausted.
objective_reststaff_resting             (*X are resting)
objective_reststaff_needstaffroom       Build a Staff Room so they can rest.

objective_grant_bootstraps                  Contract: Basic Detention Centre
objective_grant_bootstraps_description      Turn an empty field into a functioning prison.  This government contract gives you the funds neccesary to build the absolute minimum facilities for your first set of Prisoners.
objective_grant_bootstraps_holdingcell      Build a holding cell
objective_grant_bootstraps_shower           Build a shower
objective_grant_bootstraps_yard             Build a yard 
objective_grant_bootstraps_kitchen          Build a kitchen
objective_grant_bootstraps_canteen          Build a canteen
objective_grant_bootstraps_guard            Hire at least two guards
objective_grant_bootstraps_chef             Hire at least two chefs

objective_grant_administration                          Contract: Administration Centre
objective_grant_administration_description              Every prison project needs a functioning administration facility, to ensure things run smoothly and to hold the project accountable.  This contract pays for a Warden and an Accountant and their offices, which will then give us access to the full Federal Grant system.
objective_grant_administration_offices                  Build two offices
objective_grant_administration_warden                   Hire a Warden 
objective_grant_administration_accountant_research      Unlock Finance through Bureaucracy
objective_grant_administration_accountant               Hire an Accountant

objective_grant_firstcellblock                  Contract: Cell Block A
objective_grant_firstcellblock_description      The basics are up and running.  It is time to build your first cell block, and transfer the existing prisoners into cells of their own.
objective_grant_firstcellblock_cells            Raise your Prisoner Capacity to 15

objective_grant_health                      Grant: Health and Well Being
objective_grant_health_description          The physical and mental health of our inmates is very important to us.  This grant is to facilitate the construction of a state of the art medical ward, and to hire doctors and psychologists to look after the inmates health needs.
objective_grant_health_ward                 Build a medical ward
objective_grant_health_doctors              Hire at least two doctors
objective_grant_health_psychologist         Hire a psychologist (Requires an Office)
 

# =============================================================================
# Materials
# =============================================================================
                                              
                                                                                                       
object_none                              None
object_box                               Box
object_stack                             Stack
object_bed                               Bed
object_toilet                            Toilet
object_table                             Table
object_chair                             Chair
object_bench                             Bench
object_electricchair                     Christmas Tree
object_jaildoor                          Jail Door
object_jaildoorlarge                     Large Jail Door
object_door                              Door
object_solitarydoor                      Solitary Door
object_staffdoor                         Staff Door
object_jailbars                          Jail Bars
object_window                            Window
object_windowlarge                       Large Window
object_tree                              Tree
object_light                             Light
object_cooker                            Cooker
object_fridge                            Fridge
object_bin                               Bin
object_sink                              Sink
object_servingtable                      Serving Table
object_showerhead                        Shower Head
object_brick                             Brick
object_concrete                          Concrete
object_steel                             Steel
object_ingredients                       Ingredients
object_ingredientscooking                Ingredients (Cooking)
object_ingredientscooked                 Ingredients (Cooked)
object_meal                              Meal
object_foodtray                          Food Tray
object_foodtraydirty                     Food Tray (Dirty)
object_grassturf                         Grass Turf
object_prisoneruniform                   Prisoner Uniform
object_dirtyprisoneruniform              Prisoner Uniform (Dirty)
object_crumpledprisoneruniform           Prisoner Uniform (Crumpled)
object_bleach                            Bleach
object_sheetmetal                        Wrapping Paper
object_licenseplateblank                 Ready Cut Box
object_licenseplate                      Present
object_workman                           Little Helper
object_guard                             Elf
object_riotguard                         Riot Guard
object_prisoner                          Prisoner
object_doctor                            Doctor
object_paramedic                         Paramedic
object_cook                              Cook
object_gardener                          Gardener
object_janitor                           Janitor
object_fireman                           Fireman
object_avatar                            Avatar
object_actor                             Actor
object_visitor                           Visitor
object_doghandler                        Dog Handler
object_dog                               Guard Dog 
object_dogcrate                          Dog Crate
object_warden                            Santa Claus
object_chief                             Chief
object_foreman                           Foreman
object_psychologist                      Psychologist
object_accountant                        Accountant
object_lawyer                            Lawyer
object_supplytruck                       Supply Truck
object_fireengine                        Fire Engine
object_riotvan                           Riot Van
object_ambulance                         Ambulance
object_hearse                            Hearse
object_fire                              Fire
object_garbage                           Garbage
object_rubble                            Rubble
object_bookshelf                         Bookshelf
object_officedesk                        Office Desk
object_filingcabinet                     Filing Cabinet
object_medicalbed                        Medical Bed
object_morgueslab                        Morgue Slab
object_equipment                         Equipment
object_prop                              Prop
object_dummy                             Dummy
object_powerstation                      Power Station
object_capacitor                         Capacitor
object_electricalcable                   Electrical Cable
object_powerswitch                       Power Switch
object_waterpumpstation                  Water Pump Station
object_pipevalve                         Pipe Valve
object_pipelarge                         Large Pipe
object_pipesmall                         Small Pipe
object_drain                             Drain
object_sprinkler                         Sprinkler
object_metaldetector                     Metal Detector
object_weightsbench                      Weights Bench
object_phonebooth                        Phone Booth
object_tv                                Tv
object_largetv                           Large Tv
object_pooltable                         Pool Table
object_polaroid                          Polaroid
object_cctv                              Cctv
object_cctvmonitor                       Cctv Monitor
object_laundrymachine                    Laundry Machine
object_laundrybasket                     Laundry Basket
object_ironingboard                      Ironing Board
object_visitortable                      Visitor Table
object_workshopsaw                       Workshop Box Cutter
object_workshoppress                     Workshop Box Folder
object_boombox                           Boombox
object_guardlocker                       Guard Locker
object_sofachairsingle                   Sofa
object_sofachairdouble                   Wide Sofa
object_drinkmachine                      Drink Machine
object_arcadecabinet                     Arcade Cabinet
object_radio                             Radio
object_bookshelflarge                    Library Bookshelf
object_weaponrackshotguns                Weapon Rack (Shotguns)
object_weaponrackrifles                  Weapon Rack (Rifles)
object_dismantleobject                   Dismantle Object
object_dismantleutility                  Dismantle Utility

material_none                            None
material_building                        Building
material_demolish                        Bulldoze
material_demolishwalls                   Demolish Walls
material_removetunnels                   Remove Tunnels
material_dirt                            Dirt
material_pavingstone                     Paving Stone
material_grass                           Grass
material_gravel                          Gravel
material_road                            Road
material_roadmarkings                    Road Markings
material_roadmarkingsleft                Road Markings (Left)
material_roadmarkingsright               Road Markings (Right)
material_stone                           Stone
material_fence                           Fence
material_concretetiles                   Concrete Tiles
material_concretefloor                   Concrete Floor
material_woodenfloor                     Wooden Floor
material_ceramicfloor                    Ceramic Floor
material_mosaicfloor                     Mosaic Floor
material_metalfloor                      Metal Floor
material_marbletiles                     Marble Tiles
material_whitetiles                      White Tiles
material_fancytiles                      Fancy Tiles
material_concretewall                    Concrete Wall
material_brickwall                       Brick Wall
material_perimeterwall                   Perimeter Wall
material_burntfloor                      Burnt Floor
material_burntwall                       Burnt Wall
material_buildingframe                   Building Frame
material_roof                            Roof

room_none                                None
room_cell                                Cell
room_holdingcell                         Holding Cell
room_solitary                            Solitary
room_canteen                             Canteen
room_kitchen                             Kitchen
room_shower                              Shower
room_yard                                Yard
room_storage                             Storage
room_deliveries                          Deliveries
room_garbage                             Garbage
room_execution                           Execution
room_workshop                            Workshop
room_security                            Security
room_office                              Office
room_medicalward                         Infirmary
room_morgue                              Morgue
room_commonroom                          Common Room
room_laundry                             Laundry
room_visitation                          Visitation
room_cleaningcupboard                    Cleaning Cupboard
room_kennel                              Kennel
room_armoury                             Armoury
room_staffroom                           Staffroom
room_library                             Library

equipment_none                           None
equipment_fists                          Fists
equipment_baton                          Candy Cane
equipment_shank                          Shank
equipment_knife                          Knife
equipment_fork                           Fork
equipment_gun                            Gun
equipment_spoon                          Spoon
equipment_needle                         Needle
equipment_booze                          Booze
equipment_poison                         Poison
equipment_cigs                           Cigs
equipment_saw                            Saw
equipment_jailkeys                       Jail Keys
equipment_mobilephone                    Mobile Phone
equipment_lighter                        Lighter
equipment_screwdriver                    Screwdriver
equipment_drugs                          Drugs
equipment_sheers                         Sheers
equipment_mop                            Mop
equipment_rake                           Rake
equipment_hose                           Hose
equipment_spatula                        Spatula
equipment_woodenspoon                    Wooden Spoon
equipment_cleaningbrush                  Cleaning Brush
equipment_hammer                         Hammer
equipment_clipboard                      Clipboard
equipment_drill                          Drill
equipment_pianowire                      PianoWire
equipment_scissors                       Scissors
equipment_medicine                       Medicine
equipment_shotgun                       Shotgun
equipment_moneybag                      Money Bag
equipment_tazer                         Tazer
equipment_guarduniform                  Guard Uniform
equipment_stabvest                      Stab Vest
equipment_rifle                         Rifle

research_none                           None
research_warden                         Warden
research_maintainance                   Maintainance
research_security                       Security
research_legal                          Legal
research_mentalhealth                   Mental Health
research_finance                        Finance
research_landexpansion                  Land Expansion
research_cctv                           Cctv
research_riotguards                     Riot Guards
research_health                         Health
research_cleaning                       Cleaning
research_groundskeeping                 Grounds Keeping
research_clone                          Clone
research_deployment                     Deployment
research_patrols                        Patrols
research_dogs                           Dogs
research_prisonlabour                   Prison Labour
research_contraband                     Contraband
research_policy                         Prison Policy

research_requires_short                 Requires a *X

regime_nothing                          Nothing
regime_sleep                            Sleep
regime_eat                              Eat
regime_shower                           Shower
regime_yard                             Yard
regime_work                             Work
regime_lockdown                         Lockdown
regime_freetime                         FreeTime
regime_currenttime                      Now

# =============================================================================
# Misc
# =============================================================================

box_contents                             Contents: *X
stack_contents                           Contents: *X x *Y

object_dump                             Garbage
object_todo                             Todo: *X

object_door_cyclepermissions            Click to cycle Access Permissions
object_door_cyclepermissions_1          (Open, Staff Only, Closed)

object_firemen_hosehelp                 Hold H to aim the hose

object_inactive                         INACTIVE
object_cctv_moremonitors                Build more CCtv Monitors
object_cctvmonitor_needsguards          Guards required within viewing zone

administrator_requiresoffice            Requires Office

prisoner_assignedto                     Requires: *X

contraband_owner                        Owner: *X
contraband_ownerunknown                 Owner unknown
contraband_stolenfrom                   Stolen from *X, *Y hours ago
contraband_smuggledthrough              Smugged through *X, *Y hours ago
contraband_smuggledin                   Smuggled in by Prisoner, *Y hours ago

staff_exhausted                         Exhausted
staff_tired                             Tired
staff_needsrest                         Staff prefer to rest in a Staff Room
dog_needskennel                         Dogs need a Kennel to sleep in


# =============================================================================
# Death Row
# =============================================================================

campaignchapter_deathrow                Death Row

campaignchapter_deathrow_description    We've been contracted to build an Execution Chamber at this prison, in time for the scheduled execution of one of their in-mates.

campaigncutscene_deathrowmurder         Double Murder
campaigncutscene_deathrowconfession     Confession

adviser_deathrow_murder1                I knew I'd catch you two here.
adviser_deathrow_murder2                Edward! I...
adviser_deathrow_murder25               Don't.  Just....Don't.
adviser_deathrow_murder3                What are you going to do?

adviser_deathrow_church1                Can I help you?
adviser_deathrow_church15               ...
adviser_deathrow_church2                Are you looking for forgiveness?
adviser_deathrow_church3                I don't know. I have to do something, I can't live with the things I've done.
adviser_deathrow_church4                You have to turn yourself in. Whatever you've done, you cannot evade the consequences. 
adviser_deathrow_church5                You will never be able to live with yourself until you face up to your past.
adviser_deathrow_church6                I want to go back. I want to forgive her. I want her to forgive me.
adviser_deathrow_church7                God will forgive you, no matter what you have done, if you ask him to. 
adviser_deathrow_church8                But you must answer for your crimes in the eyes of the law.  There is no other way.

adviser_deathrowintro_1                 This is a tough one.
adviser_deathrowintro_2                 There's a prisoner incarcerated at this facility who's been convicted of a double murder, and sentenced to death.  
adviser_deathrowintro_3                 That's where we come in.  We've been contracted to construct an execution chamber in time for the guys big day.
adviser_deathrowintrob_1                This is where I want the new facility to be built.
adviser_deathrowintrob_2                The first step with any project like this is to construct the building itself - with enough space inside to fit an execution room and a holding cell.
adviser_deathrowintrob_3                So let's get started.  Construct a new building here.

adviser_deathrow_explain1               Your Workmen are responsible for construction of buildings.
adviser_deathrow_explain2               They'll collect the Steel and concrete from this store room and take it to the construction site.
adviser_deathrow_explain3               They'll use those raw materials to build the foundations and framework of your new building.
adviser_deathrow_explain4               This is the slowest part of construction, so you should plan ahead when building new facilities.
adviser_deathrow_explain5               While we wait, take a look around.  Use WASD or the arrow keys to move around, and use the mouse wheel to zoom in and out.

objective_deathrow_building             Construct a building to house the Execution Facility

adviser_deathrow_buildinside1           We will also need an entrance to the new Execution Facility.
adviser_deathrow_buildinside2           Build a Large Jail Door into the south wall.

objective_deathrow_buildouterdoor       Build a Large Jail Door entrance

adviser_deathrow_internalwalls1          Inside the building I want a Jail Cell and an Execution Room.
adviser_deathrow_internalwalls2          Partition the space by constructing some Brick Walls.

objective_deathrow_buildinternalwalls   Build internal walls

adviser_deathrow_internaldoors1          Now add Large Jail Doors to those dividing walls.
adviser_deathrow_internaldoors2          You can rotate an object before placement by clicking the middle mouse button (or press R).

objective_deathrow_buildinternaldoors   Build internal doors (Middle Click or press R to rotate an object)

adviser_deathrow_designation1           That's looking good.  We now need to Designate Rooms within those spaces.
adviser_deathrow_designation2           Designate a Cell in the smaller area where our condemned inmate will live.
adviser_deathrow_designation3           Then designate the Execution Room itself in the larger area.

objective_deathrow_designatecell        Designate a Cell
objective_deathrow_designateexecution   Designate an Execution Room

adviser_deathrow_roomrequirements1      Those new Rooms have requirements before they become functional.  
adviser_deathrow_roomrequirements2      The Cell needs a Bed and a Toilet.
adviser_deathrow_roomrequirements3      The Execution Room requires the Electric Chair.

objective_deathrow_cellobjects1         Build a Bed
objective_deathrow_cellobjects2         Build a Toilet
objective_deathrow_executionobjects     Build an Electric Chair

adviser_deathrow_optional1              That's the essentials taken care of.  But there are still a few improvements you could make.
adviser_deathrow_optional2              It's up to you though, these aren't strictly required.  It depends how much you care about your prisoners and their environment.
adviser_deathrow_optional3              The Cell itself could be improved with an outward facing Window, and a small Bookshelf.  
adviser_deathrow_optional4              And the facility would look better with a higher quality floor material - like Wooden Floorboards or Mosaic Tiles.
adviser_deathrow_optional5              Outside you could add some lighting, and a paved pathway if you think it needs it.

adviser_deathrow_transfer05             This is the man in question, Edward Romsey.  A teacher once, would you believe.
adviser_deathrow_transfer06             It's not our place to decide if he deserves this.  The Law has made that decision.  We're just here to do a job.
adviser_deathrow_transfer1              Once you are satisfied the facility is ready, you can begin the Prisoner Transfer to his new cell.
adviser_deathrow_transfer2              Simply click on him to select him, then Right Click just outside his Cell to initiate the transfer.

objective_deathrow_path                 (OPTIONAL) Build a Path to the new facility
objective_deathrow_window               (OPTIONAL) Add a Window to the Cell
objective_deathrow_bookshelf            (OPTIONAL) Add a bookshelf to the Cell
objective_deathrow_flooring             (OPTIONAL) Redo the flooring with higher quality materials
objective_deathrow_outerlights          (OPTIONAL) Create some outdoor lighting around the facility
objective_deathrow_transferinmate       When you are done, begin the Prisoner Transfer.  Click to select him, then Right Click in the zone outside his cell.

adviser_deathrow_setupmurder1           Don't shed one tear for this guy.  He's a stone cold killer, guilty as charged. 
adviser_deathrow_setupmurder2           He even confessed.  Wanna hear his description of what he did?  
adviser_deathrow_setupmurder3           It's juicy stuff.  "It was around 11pm.  The lights were already on.  I knew she was home..."
adviser_deathrow_postmurder1            Like I said, a stone cold killer.
adviser_deathrow_postmurder2            Clear as day if you ask me.  Deserves every volt he's gonna get.
adviser_deathrow_postmurder3            All men deserve forgiveness, even him. Are you so sure in yourself that you can deal out such final judgement?
adviser_deathrow_postmurder4            Catching your wife with another man is no excuse for what he did. 
adviser_deathrow_postmurder5            And he went there with a loaded gun, knowing he'd find them together. That's double pre-meditated murder.
adviser_deathrow_postmurder6            He's done nothing but co-operate with the authorities. This state is making an example of him. 
adviser_deathrow_postmurder7            If he'd committed his crime 100 miles north he'd be looking at life imprisonment instead. How is that justice?
adviser_deathrow_postmurder8            Do you want a guy like this running free? I'll sleep just fine at night when I know he's gone.
           

adviser_deathrowelectricity_1           Good work so far.
adviser_deathrowelectricity_2           However there is one problem - the execution room isn't functioning yet, because it doesn't have any power.
adviser_deathrowelectricity_3           We need to connect it to the electricity supply.

adviser_deathrowelectricityb_1          We are now viewing the prison in Utilities mode, which shows us the electrical wiring layout for the entire prison. 
adviser_deathrowelectricityb_2          Each building in the prison is connected to the Power Grid by these thick underground electrical cables.  
adviser_deathrowelectricityb_3          Power is provided to the prison by this substation, which draws electricity from the national grid.
adviser_deathrowelectricityb_4          As you can see, this entire wing of prison cells is without power.  All of the lights are out.
adviser_deathrowelectricityb_4b         To fix this problem, we first need to switch into Utilities mode to understand why the lights are without power.
adviser_deathrowelectricityb_5          The nearest electrical cables are too far away - our engineers can't complete the wiring for this area.
adviser_deathrowelectricityb_6          Extend the electrical cables nearby to cover this wing of the prison.

objective_deathrow_cellpower            Connect room to Electrical Supply

adviser_deathrow_connectchair_1         Lights aren't the only thing that needs power.  Your new Electric Chair does too.
adviser_deathrow_connectchair_2         Use the Power Cables to connect the execution facility to the power grid.
adviser_deathrow_connectchair_3         The Electric Chair itself is a special type of electrical item.  It requires its own dedicated power line. You'll need to connect it up directly with mains cables.

objective_deathrow_chairpower           Connect Electric Chair to Electrical Supply
objective_deathrow_condemnedcellpower   Connect Jail Cell to Electrical Supply

adviser_deathrow_testchair_1            We are almost done I think.  We should test the new Execution room at least once before we try to use it though.
adviser_deathrow_testchair_2            I'm just going to turn it on for a few seconds, make sure everything is ok.
adviser_deathrow_testchair_3            Well, that didn't work.  Looks like we drew too much power, and tripped a circuit breaker in the power station.  The whole prison is dark.
adviser_deathrow_testchair_4            We're going to need more juice to be able to handle the power spike that the electric chair generates.
adviser_deathrow_testchair_5            First, we need to turn the power back on.   This is a two step process:
adviser_deathrow_testchair_5b           Step one, switch each Capacitor back on by clicking on them in Utilities Mode.  Step two, Switch the power station back on by clicking on it.  
adviser_deathrow_testchair_6            Then build three more capacitors so we have enough Power Capacity to handle the electric chair.
adviser_deathrow_testchair_7            Once you've done that, test the Electric chair again by clicking on it in Utilities Mode to turn it on.

objective_deathrow_poweron              Turn the Power Station back on. (In Utilities Mode, click on each Capacitor, then click on the Power Station to restart it)
objective_deathrow_expandpower          Expand the power station with three new Capacitors
objective_deathrow_chairworking         Test the chair again (click on it in Utilities Mode to turn it on)

adviser_deathrow_execution_1            Well done.  I believe we are finished with this job.
adviser_deathrow_execution_2            What happens now is out of our hands.  We did a professional job, and that's important in our business.
adviser_deathrow_execution_3            Try not to worry about what happens next.  

adviser_deathrow_setupexecution1        It is time Edward. 
adviser_deathrow_setupexecution2        You have done the right thing, even though this world will not forgive you for it.
adviser_deathrow_setupexecution3        You will be with God soon, and He will have the final judgement on you.

adviser_deathrow_setupexecution4        Edward Romsey.  You have been found guilty of two counts of murder in the first degree.
adviser_deathrow_setupexecution5        The penalty is death.  
adviser_deathrow_setupexecution6        Do you have anything to say?
adviser_deathrow_setupexecution7        Susan...
adviser_deathrow_setupexecution8        I'm sorry.


# =============================================================================
# Clock
# =============================================================================

clock_speed_0                           ||
clock_speed_1                           >
clock_speed_2                           >>
clock_speed_5                           >>>
clock_speed_half                        ...
clock_add_hour                          +
